unit_code;cocunut;ctype_code;ctype_name;rating;default_flag;dqi
RBBH;166493;6;Small Medium Business (SMB);SME_10;T;OK
TBSK;101197;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;660639;3;Corporates;CORP_10;T;OK
AVAL;221319;6;Small Medium Business (SMB);SME_10;T;OK
RBAL;522681;3;Corporates;CORP_10;T;OK
RBBG;388936;6;Small Medium Business (SMB);SME_10;T;OK
RBAL;176189;6;Small Medium Business (SMB);SME_10;T;OK
RBHU;187063;6;Small Medium Business (SMB);SME_10;T;OK
RBKO;125852;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;234964;3;Corporates;CORP_10;T;OK
TBSK;326344;6;Small Medium Business (SMB);SME_10;T;OK
ALEASS;1216725;6;Small Medium Business (SMB);SME_10;T;OK
TBSK;136237;3;Corporates;CORP_10;T;OK
RBCZ;299199;3;Corporates;CORP_10;T;OK
RBRO;120365;3;Corporates;CORP_10;T;OK
AVAL;344020;6;Small Medium Business (SMB);SME_10;T;OK
RLUA;648307;3;Corporates;CORP_10;T;OK
RBRO;147763;3;Corporates;CORP_10;T;OK
TBSK;206173;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;204784;3;Corporates;CORP_10;T;OK
AVAL;533319;6;Small Medium Business (SMB);SME_10;T;OK
RBI;23061;36;Private Individual (Non-Retail);CORP_10;T;OK
RBRO;466506;3;Corporates;CORP_10;T;OK
AVAL;501422;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;510906;3;Corporates;CORP_10;T;OK
TLSK;802062;6;Small Medium Business (SMB);SME_10;T;OK
RBI;182727;3;Corporates;CORP_10;T;OK
RLSI;115855;3;Corporates;CORP_10;T;OK
RBRO;1970408;6;Small Medium Business (SMB);SME_10;T;OK
RBRU;177471;3;Corporates;CORP_10;T;OK
TLSK;2036373;6;Small Medium Business (SMB);SME_10;T;OK
TBSK;161055;18;Specialised Lending Project (excl. Commodity);SLOT_PF_6.5;T;OK
RBBG;1403433;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;626154;6;Small Medium Business (SMB);SME_10;T;OK
RBHU;321687;6;Small Medium Business (SMB);SME_10;T;OK
RBCZ;589346;3;Corporates;CORP_10;T;OK
RBRU;123396;18;Specialised Lending Project (excl. Commodity);SLOT_RE_6.5;T;OK
RBHU;156279;34;Other Administrative Body or Non-Commercial Undertaking;CORP_10;T;OK
AVAL;497347;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;313205;6;Small Medium Business (SMB);SME_10;T;OK
TBSK;117302;6;Small Medium Business (SMB);SME_10;T;OK
RBAL;190152;6;Small Medium Business (SMB);SME_10;T;OK
RBBH;530789;3;Corporates;CORP_10;T;OK
AVAL;292849;3;Corporates;CORP_10;T;OK
AVAL;345909;6;Small Medium Business (SMB);SME_10;T;OK
RPL;72597;3;Corporates;CORP_10;T;OK
AVAL;179763;3;Corporates;CORP_10;T;OK
RLRS;183232;3;Corporates;CORP_10;T;OK
RBBY;570710;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;271627;6;Small Medium Business (SMB);SME_10;T;OK
RBAL;137393;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;219746;6;Small Medium Business (SMB);SME_10;T;OK
RBHR;145933;6;Small Medium Business (SMB);SME_10;T;OK
CASRS;1608649;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;915634;3;Corporates;CORP_10;T;OK
AVAL;216538;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;1983960;3;Corporates;CORP_10;T;OK
TBSK;522836;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;293689;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;394493;6;Small Medium Business (SMB);SME_10;T;OK
RBHR;132438;6;Small Medium Business (SMB);SME_10;T;OK
RBBH;128509;6;Small Medium Business (SMB);SME_10;T;OK
RBBH;329394;3;Corporates;CORP_10;T;OK
TBSK;224306;6;Small Medium Business (SMB);SME_10;T;OK
RLBG;95862;3;Corporates;CORP_10;T;OK
RBHR;174709;6;Small Medium Business (SMB);SME_10;T;OK
RBHU;110926;3;Corporates;CORP_10;T;OK
RBBH;187170;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;465824;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;313417;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;652853;6;Small Medium Business (SMB);SME_10;T;OK
RBBH;165997;6;Small Medium Business (SMB);SME_10;T;OK
RBCZ;666885;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;756470;3;Corporates;CORP_10;T;OK
RLBH;127913;3;Corporates;CORP_10;T;OK
RBRU;270612;6;Small Medium Business (SMB);SME_10;T;OK
RLRO;177373;3;Corporates;CORP_10;T;OK
RBRO;292293;6;Small Medium Business (SMB);SME_10;T;OK
RBRU;1058553;6;Small Medium Business (SMB);SME_10;T;OK
RBHU;745711;6;Small Medium Business (SMB);SME_10;T;OK
AREALE;702093;3;Corporates;CORP_10;T;OK
RBBH;881138;6;Small Medium Business (SMB);SME_10;T;OK
RLRO;435881;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;177737;3;Corporates;CORP_10;T;OK
RBCZ;169120;3;Corporates;CORP_10;T;OK
RBBH;657185;6;Small Medium Business (SMB);SME_10;T;OK
RBHU;214337;6;Small Medium Business (SMB);SME_10;T;OK
RBBH;935645;6;Small Medium Business (SMB);SME_10;T;OK
RBHU;155025;3;Corporates;CORP_10;T;OK
RBRO;1841888;3;Corporates;CORP_10;T;OK
RBRO;764536;39;Associations;CORP_10;T;OK
AVAL;1024730;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;280007;6;Small Medium Business (SMB);SME_10;T;OK
RBRU;1979206;3;Corporates;CORP_10;T;OK
RBHU;84546;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;522930;6;Small Medium Business (SMB);SME_10;T;OK
TBSK;101441;6;Small Medium Business (SMB);SME_10;T;OK
RBRU;141311;3;Corporates;CORP_10;T;OK
RBCZ;198656;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;215781;3;Corporates;CORP_10;T;OK
RBBG;183035;3;Corporates;CORP_10;T;OK
AVAL;226993;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;323856;6;Small Medium Business (SMB);SME_10;T;OK
RBBG;226592;6;Small Medium Business (SMB);SME_10;T;OK
RBCZ;681707;18;Specialised Lending Project (excl. Commodity);SLOT_RE_6.5;T;OK
RBAL;520304;3;Corporates;CORP_10;T;OK
RBHR;125647;3;Corporates;CORP_10;T;OK
RBRS;184519;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;1974924;6;Small Medium Business (SMB);SME_10;T;OK
RLCZ;185006;3;Corporates;CORP_10;T;OK
RLUA;281981;3;Corporates;CORP_10;T;OK
RBHR;332912;3;Corporates;CORP_10;T;OK
RLBG;318954;6;Small Medium Business (SMB);SME_10;T;OK
RBBG;480219;6;Small Medium Business (SMB);SME_10;T;OK
RBBH;180609;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;706110;6;Small Medium Business (SMB);SME_10;T;OK
RBCZ;1044232;6;Small Medium Business (SMB);SME_10;T;OK
RBHR;143479;3;Corporates;CORP_10;T;OK
RBHU;1235301;3;Corporates;CORP_10;T;OK
RBRS;647424;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;344895;6;Small Medium Business (SMB);SME_10;T;OK
RLCZ;1633086;3;Corporates;CORP_10;T;OK
AVAL;221060;6;Small Medium Business (SMB);SME_10;T;OK
TBSK;1221322;6;Small Medium Business (SMB);SME_10;T;OK
RBAL;307711;6;Small Medium Business (SMB);SME_10;T;OK
RBHR;294886;18;Specialised Lending Project (excl. Commodity);SLOT_RE_6.5;T;OK
ALEASS;702527;3;Corporates;CORP_10;T;OK
AVAL;468695;6;Small Medium Business (SMB);SME_10;T;OK
RBILEG;1336715;6;Small Medium Business (SMB);SME_10;T;OK
RBCZ;134242;3;Corporates;CORP_10;T;OK
RBBH;294311;6;Small Medium Business (SMB);SME_10;T;OK
RBBY;676139;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;524130;6;Small Medium Business (SMB);SME_10;T;OK
AREALE;702250;6;Small Medium Business (SMB);SME_10;T;OK
RBBH;223335;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;219874;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;2032481;3;Corporates;CORP_10;T;OK
AVAL;195438;6;Small Medium Business (SMB);SME_10;T;OK
TBSK;162143;3;Corporates;CORP_10;T;OK
RBHU;122587;6;Small Medium Business (SMB);SME_10;T;OK
RBBG;129327;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;392356;3;Corporates;CORP_10;T;OK
RBCZ;68431;3;Corporates;CORP_10;T;OK
RBRO;234939;3;Corporates;CORP_10;T;OK
RBHU;155284;3;Corporates;CORP_10;T;OK
RBRS;515923;6;Small Medium Business (SMB);SME_10;T;OK
RBRU;209580;3;Corporates;CORP_10;T;OK
TBSK;1320008;6;Small Medium Business (SMB);SME_10;T;OK
TBSK;102104;3;Corporates;CORP_10;T;OK
TBSK;447050;6;Small Medium Business (SMB);SME_10;T;OK
RLBH;609600;6;Small Medium Business (SMB);SME_10;T;OK
RBHU;312902;6;Small Medium Business (SMB);SME_10;T;OK
TBSK;1505588;6;Small Medium Business (SMB);SME_10;T;OK
RLRS;125963;6;Small Medium Business (SMB);SME_10;T;OK
RBRS;463306;3;Corporates;CORP_10;T;OK
RBRO;205910;3;Corporates;CORP_10;T;OK
RBRO;543802;6;Small Medium Business (SMB);SME_10;T;OK
RLHR;880509;6;Small Medium Business (SMB);SME_10;T;OK
RBAL;196579;6;Small Medium Business (SMB);SME_10;T;OK
ALEASS;702177;6;Small Medium Business (SMB);SME_10;T;OK
RBRS;15536;3;Corporates;CORP_10;T;OK
RBHR;117349;6;Small Medium Business (SMB);SME_10;T;OK
RBI;66031;3;Corporates;CORP_10;T;OK
RBRU;446032;3;Corporates;CORP_10;T;OK
AVAL;456238;6;Small Medium Business (SMB);SME_10;T;OK
RBBG;97510;3;Corporates;CORP_10;T;OK
RLBH;167216;3;Corporates;CORP_10;T;OK
RBHU;75051;3;Corporates;CORP_10;T;OK
RBAL;231645;3;Corporates;CORP_10;T;OK
RLSI;226442;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;798841;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;322321;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;343661;3;Corporates;CORP_10;T;OK
AVAL;527266;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;219881;6;Small Medium Business (SMB);SME_10;T;OK
RBCZ;807480;3;Corporates;CORP_10;T;OK
RBRO;504946;6;Small Medium Business (SMB);SME_10;T;OK
RBBH;181201;3;Corporates;CORP_10;T;OK
TBSK;1974804;18;Specialised Lending Project (excl. Commodity);SLOT_RE_6.5;T;OK
RBRO;465309;3;Corporates;CORP_10;T;OK
TBSK;187332;38;Leasing (Corporate/Stand-alone);CORP_10;T;OK
AREALE;710437;6;Small Medium Business (SMB);SME_10;T;OK
RLAL;607053;6;Small Medium Business (SMB);SME_10;T;OK
RBRU;259334;6;Small Medium Business (SMB);SME_10;T;OK
RBCZ;688352;3;Corporates;CORP_10;T;OK
AVAL;874883;3;Corporates;CORP_10;T;OK
RBRO;246912;6;Small Medium Business (SMB);SME_10;T;OK
TBSK;100566;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;325866;6;Small Medium Business (SMB);SME_10;T;OK
RLUA;185633;6;Small Medium Business (SMB);SME_10;T;OK
RBBG;195827;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;224119;6;Small Medium Business (SMB);SME_10;T;OK
TBSK;16772;3;Corporates;CORP_10;T;OK
RBRU;766906;3;Corporates;CORP_10;T;OK
RBHR;146100;3;Corporates;CORP_10;T;OK
AREALE;715402;6;Small Medium Business (SMB);SME_10;T;OK
RBHU;138816;3;Corporates;CORP_10;T;OK
RLUA;474932;41;Group SMB;SME_10;T;OK
RBBG;289642;3;Corporates;CORP_10;T;OK
AVAL;221960;6;Small Medium Business (SMB);SME_10;T;OK
RBAL;155343;3;Corporates;CORP_10;T;OK
RLBH;279778;6;Small Medium Business (SMB);SME_10;T;OK
RBAL;550865;3;Corporates;CORP_10;T;OK
